user	degree	ndcg20
1	44	0.1491223120402968
2	38	0.21599512883074584
3	4	0.0
4	39	0.3679212572135328
5	75	0.03233829114831982
6	19	0.0
8	21	0.12011565579805132
9	2	0.0
10	61	0.26617704583086116
11	40	0.5940341059163737
12	151	0.07474092615392175
13	70	0.5429406958195725
14	43	0.20299484730688683
15	20	0.0
16	8	0.6131471927654585
17	6	0.23540891336663824
18	11	0.0
19	48	0.1578049512869255
20	7	0.13012668333070057
21	11	0.17723928678404774
23	33	0.20606743734488778
24	3	0.0
25	1	0.0
26	171	0.3527043966888625
28	40	0.397511051918913
29	18	0.0
30	9	0.0
32	3	0.0
33	15	0.0
34	16	0.12306831900259488
35	9	0.2789429456511298
36	86	0.10135225517624087
38	21	0.11253888879546763
39	51	0.13905617951077565
40	138	0.03406297225598252
41	12	0.0
42	21	0.1906740074187297
43	14	0.0
44	11	0.0
45	20	0.0
46	40	0.0
47	95	0.3183171902135898
48	14	0.1643105734735387
49	48	0.0481592220840649
50	4	0.0
51	82	0.14614177145970023
52	31	0.0
53	1	0.0
54	5	0.7841802768331766
55	2	0.0
56	91	0.15263019522688698
57	31	0.13811491243004628
58	47	0.32260400406720213
59	65	0.07597375654860734
62	36	0.0
63	32	0.5307212739772434
64	227	0.30726678366944626
67	89	0.0
68	52	0.19821908735265845
69	13	0.3391602052736162
70	114	0.032864970567577
72	29	0.5844567001362057
73	21	0.0
74	16	0.0
75	361	0.21192687931409193
76	110	0.1783812611560082
77	35	0.05502294157452005
78	79	0.1519475130972147
79	69	0.20901600499557857
81	42	0.05636685296094937
82	16	0.6131471927654585
83	19	0.0
84	103	0.2885261780061651
85	52	0.0901000086523677
86	8	0.0
88	77	0.23430673110551672
89	63	0.35805046673043844
90	18	0.0
91	38	0.08372491399919348
92	3	0.0
93	79	0.15500434419938042
94	64	0.28546237178828043
95	10	0.0
96	2	0.0
97	14	0.0
98	3	0.5
99	29	0.26814845930323333
100	33	0.2529427027676571
101	30	0.2311912370766418
102	146	0.22196562191661798
103	53	0.10332279558047675
104	8	0.43090711706088086
105	1	0.0
107	53	0.35022291655215787
108	41	0.10836246763959095
109	12	0.0617346042662763
110	55	0.17353600609097747
111	7	0.23463936301137828
112	11	0.0
113	14	0.0
114	50	0.2709586074532936
115	10	0.11480929472601782
116	1	0.0
117	2	0.0
118	12	0.6309297535714574
119	23	0.5151254397262444
121	9	0.0
122	216	0.29865170437337624
123	13	0.0
124	105	0.3152921542154069
126	16	0.2960819109658653
127	85	0.41911771372147727
128	24	0.0
129	156	0.14456587527532933
130	186	0.20216937909162735
131	176	0.24914278124381997
132	12	0.08133484538841969
134	61	0.3735817223270286
135	15	0.1695801026368081
136	5	0.0
137	41	0.0
138	17	0.3160836598574392
139	78	0.32124734903524377
140	11	0.6105858728157116
141	94	0.128632627383784
142	104	0.27832145384197754
143	16	0.0
144	6	0.0
145	60	0.19383217202304814
146	98	0.10235135297694253
147	8	0.3333333333333333
148	2	0.0
149	35	0.0
151	8	0.0
152	64	0.2751640471190324
153	5	0.0
154	67	0.16012299992246748
156	31	0.09109240322345805
157	375	0.4108637953536393
158	47	0.2860604285087249
160	86	0.21306005945048598
163	7	0.0
164	19	0.0874717141014082
165	64	0.0717679695484762
167	9	0.9197207891481877
171	35	0.30925491012555983
172	45	0.2860604285087249
173	24	0.3026024134988135
174	9	0.0
175	8	0.0
177	18	0.3936948167222716
178	44	0.11641598717926661
181	13	0.6131471927654585
182	4	0.16104282508920817
183	19	0.0
184	39	0.10670052124209303
185	8	0.0
187	60	0.13799460014904597
188	65	0.07979453856244817
189	173	0.35811860721845695
191	69	0.25732063230661834
192	20	0.0
