user	degree	ndcg20
1	40	0.5150512517277769
2	56	0.4084058981660044
3	29	0.4923263184550016
4	17	0.0
5	67	0.4111464973653168
6	39	0.20206070420908584
7	21	0.6601396023754075
8	69	0.1452428790157171
9	52	0.3702777974539195
10	249	0.6023554453163009
11	58	0.35213954994104546
12	9	0.38204543326463525
13	29	0.5927154948537635
14	12	0.0
15	75	0.49994220078426166
16	10	0.2653606369886217
17	130	0.685277512244866
18	160	0.550072320138998
19	118	0.24705452876110873
20	18	0.38685280723454163
22	101	0.0905637041331547
23	100	0.1669435078937291
24	87	0.3939511651923414
25	42	0.367943299824263
26	82	0.050595682974617064
27	37	0.3564292091903242
28	51	0.15371102331954895
29	42	0.26843935205061886
30	18	0.0
31	56	0.3792231605851541
32	19	0.3383575925315526
33	161	0.36618164999019825
34	92	0.2822530098116178
35	91	0.17547753101837082
36	247	0.6145637859021399
37	28	0.13568830751993824
38	50	0.1965409763445595
39	26	0.5363799365054623
40	37	0.1054473249041919
41	12	0.0
42	107	0.49683843492526836
43	17	0.0
44	98	0.22738589530714293
45	76	0.1856081128801857
46	31	0.30657359638272924
47	14	0.11253888879546763
48	124	0.40347172908767687
49	45	0.1812717495648496
50	11	0.0
51	21	0.22581142421900618
52	37	0.30768232017055563
53	422	0.49817006631801236
54	29	0.8318724637288826
55	12	0.4995656193174158
56	39	0.3768923744387087
57	25	0.0
58	262	0.3571272915838029
59	85	0.42766940194579317
60	29	0.08908027021823442
61	6	0.0
62	229	0.21572407894545545
63	34	0.4456301386618355
64	16	0.17342765698823945
65	87	0.41527064217680687
66	13	0.3585335885081331
67	47	0.24946586522524417
68	39	0.19232242570969574
69	42	0.22206703194529032
70	28	0.49893031775455193
71	17	0.18457569677956817
72	26	0.09189894336865459
73	95	0.29018110194539054
74	23	0.2437748474873753
75	114	0.23889354077650618
76	63	0.28546237178828043
77	7	0.6741523135705711
78	66	0.12725214212680777
79	14	0.0
80	27	0.3026024134988135
81	55	0.21378532249196003
82	67	0.36265313688921486
83	45	0.39246142039585347
84	18	0.7536976112592702
85	13	0.0
86	36	0.2753296747614349
87	18	0.6938292401455829
88	45	0.37512817966328643
89	10	0.16716045496620233
90	84	0.03551000990841433
91	33	0.5076276813619851
92	114	0.2648543884565276
93	59	0.45255718986537263
94	11	0.12011565579805132
95	41	0.42129150345928723
96	36	0.5529538169432457
97	118	0.4420984222612627
98	10	0.17103308406771808
99	39	0.056760172607960534
100	15	0.6992148198508501
101	78	0.11932710181033496
102	49	0.13082426754152382
103	70	0.37342090000760503
104	20	0.0
105	40	0.24186240254813915
106	30	0.21857601462104476
107	59	0.3003964506295687
108	13	0.09550669086270785
109	55	0.2581879110892005
110	27	0.33858922620115844
111	51	0.2831979740514144
112	35	0.8370065270420957
113	35	0.6230398719410242
114	58	0.32875325437001784
115	17	0.21398626473452756
116	49	0.3354002917921389
117	176	0.3638506620318613
118	109	0.4985294099548583
119	39	0.3656789481699132
120	30	0.24630238874073
121	47	0.3273573499975554
122	20	0.20762207893542056
123	222	0.7303239845100039
124	14	0.15434254891979213
125	46	0.3532397490980271
126	31	0.09791292534996782
127	81	0.4623572031903455
128	17	0.0
129	95	0.3613134548878849
130	88	0.646987912586304
131	142	0.2513240757319227
132	47	0.18018919069069814
133	97	0.4458335053045518
134	45	0.26855292289002114
135	29	0.5480953514758459
136	135	0.07619580389974508
137	99	0.3293328815625951
138	48	0.4274972183209077
139	125	0.26737664876219613
140	29	0.2437748474873753
141	13	0.0
142	19	0.2565152024629157
143	31	0.3391602052736162
144	14	0.12011565579805132
145	14	0.3333333333333333
146	231	0.3160108959679771
147	82	0.5658550373839526
148	307	0.305565085735642
149	347	0.6918318413508533
150	152	0.42880048905811935
151	227	0.4306005767077805
152	17	0.0
153	12	0.08274602130532002
154	13	0.15693994437792994
155	28	0.13728449097172438
156	103	0.35942267518384563
157	209	0.24538279530250062
158	16	0.0
159	19	0.09759501249802544
160	7	0.0
161	211	0.21885930360198888
162	63	0.1480634622968856
163	46	0.17192713948815763
164	19	0.1695801026368081
165	69	0.4300538404921161
166	183	0.7086103654482141
167	13	0.09165402792833295
168	17	0.0
169	269	0.7275757631354476
170	47	0.5339979427572739
171	15	0.08887792306803075
172	9	0.37029133644382606
173	329	0.7235802187108668
174	43	0.4738469242426869
175	190	0.5136378470973567
176	34	0.16761631726851225
177	25	0.6022388069682963
178	65	0.19239588124293383
179	23	0.12081130269949421
180	25	0.12142778828265716
181	143	0.6503104281396315
182	39	0.45917452381923607
183	66	0.20736122891466585
184	53	0.622891729245391
185	21	0.6625342536802832
186	85	0.27217146913359275
187	289	0.4073594925674622
188	22	0.0
189	16	0.2747392518325151
190	59	0.4577660281985061
191	12	0.15328679819136462
192	168	0.45791775388454664
193	118	0.2992888629585826
194	39	0.21624063148843983
195	455	0.5832597062809033
196	20	0.16716045496620233
197	11	0.11751610475642713
198	203	0.5817037875725762
199	136	0.3847741992305838
200	12	0.0
201	49	0.06545264526642977
202	233	0.39723881315622117
203	22	0.0
204	185	0.7732335615954975
205	90	0.0945696551278015
206	8	0.11706259313796355
207	13	0.0
208	84	0.45524438518239196
209	8	0.0
210	63	0.32447843342317784
211	19	0.08908027021823442
212	62	0.2173877450457349
213	15	0.08887792306803075
214	55	0.43780480551148127
215	27	0.08908027021823442
216	268	0.41252779046308635
217	9	0.0
218	25	0.15444630609910479
220	61	0.10003416004424662
221	11	0.0
222	53	0.3177269063980307
223	105	0.31565353473494273
224	79	0.2875947845755678
225	214	0.5279932993240596
226	9	0.378002100396839
227	9	0.369453583111095
228	21	0.5730016628843441
229	78	0.29559826740737793
230	104	0.3304642681521884
231	65	0.4727191391799591
232	37	0.5775588558568603
233	41	0.24282464234216772
234	23	0.0
235	269	0.4473645503863956
236	31	0.38130539741279273
237	68	0.2700801962205103
238	122	0.032864970567577
239	47	0.27487633291429087
240	45	0.1833249773004728
241	36	0.3217397308098873
242	83	0.10642092862182338
243	16	0.11253888879546763
244	57	0.08775316858716853
245	120	0.16208949857657295
246	17	0.0
247	16	0.0
248	20	0.11751610475642713
249	51	0.18045377967970908
250	11	0.0
251	37	0.5855700749881526
252	41	0.0
253	33	0.1257314161834312
254	15	0.2789429456511298
255	166	0.49245205022767685
256	39	0.20428671797892398
257	35	0.4223123338122354
258	69	0.4605212445889178
259	87	0.26947466532903586
260	53	0.18716704467538947
261	165	0.2052516461236843
262	35	0.5975297230572041
263	48	0.30580131013556605
264	91	0.3613543447407118
265	63	0.34566691423001716
266	37	0.11838279295536293
267	50	0.14015911113852456
268	115	0.13732248176911918
269	15	0.13905617951077565
270	88	0.23538085174287476
271	189	0.5343027951963235
272	233	0.7273284888035255
273	91	0.4469166638349425
274	105	0.24427213439857826
275	52	0.36011979026643165
276	11	0.1815417925373527
277	13	0.28727611076425363
278	113	0.4226170672197311
279	12	0.21905326806013103
280	27	0.22319749241462322
281	57	0.4704949830771507
282	13	0.6131471927654585
283	23	0.13012668333070057
284	154	0.22145525369124
285	79	0.17078483883562204
286	24	0.3348580731497424
287	52	0.45061582186665644
288	37	0.344922096016252
289	42	0.49753057052576466
290	11	0.38685280723454163
291	62	0.4315752584606254
292	22	0.4308142332019491
293	142	0.20781582216669064
294	22	0.0
295	101	0.49438221738627064
296	54	0.2350455494144854
297	53	0.47052839963472726
298	17	0.11751610475642713
299	69	0.20729657334528373
300	161	0.5844132189968768
301	180	0.6580479441169594
302	195	0.8604254985294191
303	107	0.3412791369293849
304	10	0.3191471544989228
305	34	0.2719033298432553
306	113	0.20941157750259465
307	126	0.3934132581848737
308	211	0.44850506673102924
309	81	0.27366202885462926
310	108	0.0783655297533337
311	10	0.4459352459453564
312	27	0.20483424751859092
313	15	0.19438824714629171
314	147	0.3658259724807686
315	13	0.30657359638272924
316	47	0.4505699674022538
317	12	0.15101961822780527
318	12	0.11284514134893527
319	256	0.5576729906969152
320	15	0.0
321	75	0.11612190345001777
322	27	0.29110232150880205
323	66	0.19897088415206202
324	35	0.15130120674940675
325	22	0.24647703388570869
326	123	0.25604796088164883
327	114	0.04105877938688906
329	168	0.10940465798221158
330	46	0.25061187139406227
331	317	0.49679676669963596
332	46	0.4112403888767398
333	80	0.26387191335735055
334	39	0.25384283334418806
335	28	0.2116003227035018
336	75	0.44401242060625284
337	77	0.28624036505054257
338	183	0.7169146548656986
339	75	0.26186055650039364
340	44	0.2546738903811568
341	11	0.0
342	62	0.5762674502877686
343	193	0.46798556425712934
344	33	0.43830722522726884
345	11	0.1849535222114937
346	201	0.34052385994376966
347	50	0.14085828640423745
348	52	0.34022461324334424
349	78	0.5808731521161568
350	37	0.48288085636558475
351	62	0.08372491399919348
352	373	0.21590435870978808
353	13	0.2736231205062279
354	27	0.17342765698823945
355	193	0.4566099492673128
356	16	0.0
357	26	0.39989858409249607
358	42	0.5855700749881526
359	30	0.5167422800653995
360	35	0.28654138493958
361	12	0.35519614980896214
363	23	0.0
364	11	0.2982542196018181
365	19	0.0
366	138	0.2295244427573344
367	20	0.22290869782240585
368	158	0.41306826440115346
369	33	0.14999466516827126
370	26	0.38724877043467315
371	29	0.36412126998399624
372	121	0.5500747795211689
373	11	0.20438239758848614
374	36	0.21805064430100884
375	34	0.0
376	71	0.48273211405327504
377	73	0.2452907372645025
378	19	0.360487929436063
379	46	0.22174608377819632
380	72	0.26598378065725387
381	23	0.5103806910786142
382	30	0.0
383	11	0.0
384	9	0.13012668333070057
385	75	0.34237631135279906
386	105	0.23958098222819402
387	28	0.3024762969187364
388	28	0.3100989323624218
389	33	0.2479563656612806
390	102	0.1722432692970502
391	46	0.0
392	208	0.37802552014310814
393	37	0.15146510453389275
394	10	0.5
395	11	0.0
396	80	0.315718417053111
397	21	0.2987763160529316
398	120	0.45517451824651817
399	20	0.49927381106033397
400	26	0.5033078480798783
401	46	0.057504021086730125
402	138	0.6335487496517375
403	159	0.39512852476497706
404	31	0.5268070934043803
405	31	0.0
406	60	0.25131004001372953
407	15	0.0
408	99	0.2922298826427253
409	179	0.4253786410939663
410	59	0.189605853580535
411	212	0.399741235396494
412	320	0.5074211794328652
413	67	0.1567615263069537
414	16	0.09550669086270785
415	172	0.18456483682711033
416	29	0.32396713115821624
417	11	0.0
418	24	0.24630238874073
419	57	0.16642434639311743
420	46	0.14453725315291394
421	12	0.0
422	21	0.3083588093697463
423	14	0.0
424	645	0.8000503031668096
425	102	0.0
426	125	0.5344544444088349
427	18	0.6589157729763342
428	28	0.3391602052736162
429	105	0.5846256205220873
430	32	0.30184447454581975
431	40	0.6051770860517478
432	20	0.0
433	16	0.06360039474961572
434	22	0.057807000083705436
435	70	0.5003632779942508
436	75	0.23688093288111248
437	37	0.1622031007380874
438	261	0.625872594066385
439	51	0.2577624480415316
440	14	0.12325583919272355
441	28	0.669739192901888
442	234	0.3822230070258922
443	15	0.31053023081284914
