user	degree	ndcg20
0	18	0.0
1	536	0.06869457913685867
2	68	0.03459392809572639
3	16	0.41763448754472254
4	24	0.0874717141014082
5	18	0.0
6	88	0.0
7	16	0.10549558423511039
8	29	0.3104929860956063
9	24	0.13395719798932287
10	22	0.0
11	22	0.07001560573318605
12	33	0.05876138735362135
13	56	0.0
14	45	0.12388806404564567
15	20	0.17986924167196758
16	48	0.08041927109478653
17	49	0.07223616005000245
18	53	0.0
19	127	0.25671490543124326
20	24	0.0
21	72	0.1519475130972147
22	29	0.07311683844390994
23	23	0.1456662091078894
24	38	0.13698471029831177
25	21	0.08440880858250024
26	28	0.0
27	53	0.10621028469121525
28	189	0.0
29	58	0.08251144168042103
30	113	0.03551000990841433
31	45	0.0
32	35	0.0
33	16	0.0
34	22	0.0
35	21	0.17188052268390844
36	16	0.36005461457723403
37	1032	0.2410228340058442
38	25	0.0
39	20	0.10086747116627115
40	19	0.0
41	21	0.0
42	52	0.0
43	195	0.2322817282827546
44	16	0.0
45	37	0.14756911371683015
46	76	0.0
47	55	0.17423090655632298
48	16	0.14606834984270647
49	20	0.0
50	17	0.1695801026368081
51	40	0.10045884484489952
52	31	0.0
53	24	0.0
54	16	0.0
55	108	0.07619580389974508
56	60	0.0400672454325441
57	20	0.0
58	62	0.14634449758471924
59	33	0.0
60	23	0.0
61	55	0.05940343273155046
62	23	0.0
63	42	0.0
64	36	0.0
65	57	0.0
66	72	0.0
67	34	0.0
68	19	0.09165402792833295
69	28	0.0
70	16	0.0
71	56	0.0
72	40	0.5189859560532457
73	42	0.0
74	33	0.0
75	21	0.13032376591037065
76	28	0.0
77	18	0.0
78	17	0.08908027021823442
79	46	0.16814274149932557
80	301	0.17263273489379133
81	17	0.0
82	62	0.05166474815090726
83	17	0.0
84	112	0.0
85	52	0.04568304891751105
86	188	0.10388499038440567
87	49	0.0
88	53	0.0
89	17	0.09803928583135704
90	25	0.0
91	16	0.0
92	53	0.0
93	26	0.0
94	113	0.20321335501168922
95	39	0.1100458831490401
96	17	0.3451913422468693
97	183	0.17983403723377614
98	62	0.11000200204424343
99	18	0.3391602052736162
100	69	0.03889218532712664
101	26	0.09162544430476362
102	36	0.2350455494144854
103	16	0.0
104	37	0.07336392209936006
105	41	0.11315298690933422
106	28	0.0
107	16	0.0
108	28	0.0
109	211	0.18418694233114494
110	184	0.10388499038440567
111	28	0.17367920720822166
112	18	0.08297572808511901
113	31	0.2529427027676571
114	171	0.18851925848578197
115	34	0.0
116	30	0.0
117	16	0.0
118	17	0.08479005131840404
119	40	0.0
120	97	0.1157989446905139
121	16	0.12081130269949421
122	18	0.08297572808511901
123	78	0.17679021233252587
124	63	0.0
125	21	0.0
126	57	0.0
127	43	0.0
128	21	0.1755012118059583
129	20	0.0
130	69	0.2173877450457349
131	35	0.05876138735362135
132	49	0.37677602768464924
